x, oracle, model
-0.974253773972357, -0.782115517001218, -0.803857163581152
-0.974186039705543, -0.781898768119756, -0.803688914665715
-0.971894407421, -0.774587929417272, -0.797798988930239
-0.971036120884292, -0.771860969934237, -0.795500161931419
-0.970313758738438, -0.769570587180886, -0.793529078029709
-0.970206109535899, -0.769229634409639, -0.793232593007248
-0.969887479476909, -0.768221011601528, -0.79235095087907
-0.969282794613683, -0.766309187310942, -0.790661388004271
-0.968643189044056, -0.764290238626029, -0.788851600748697
-0.967724861625432, -0.761397390939901, -0.786214248144775
-0.967432726149332, -0.760478585278709, -0.785366017234099
-0.966129458309223, -0.756388200766666, -0.781530442420845
-0.965571417858062, -0.754641036419693, -0.779863592978083
-0.965407592122541, -0.754128602770745, -0.779371585187358
-0.965309300423364, -0.753821260372496, -0.779075821893101
-0.965278987948146, -0.753726494169008, -0.778984524908286
-0.964125045047341, -0.750124535893767, -0.775479862387199
-0.963230435897889, -0.747339612101912, -0.772725605649679
-0.961956838513868, -0.743386250900065, -0.76875280161374
-0.961640196957071, -0.742405436531165, -0.767756217958517
-0.961264334069748, -0.741242250280903, -0.766568887059172
-0.960645556652795, -0.739329842239749, -0.764604247849654
-0.960580750317774, -0.739129732180695, -0.764397788954158
-0.959281525122366, -0.735125238159852, -0.760232327642957
-0.958960296802452, -0.734137278810392, -0.759195029999936
-0.958630043802864, -0.733122445995004, -0.758125695925593
-0.958215138597343, -0.73184875374841, -0.756778232486311
-0.957626722759752, -0.730044832227778, -0.754859867610985
-0.957421689437456, -0.729416923133678, -0.754189447699368
-0.956922322629899, -0.727889066979526, -0.752552528206505
-0.956872490280639, -0.727736712704977, -0.75238886785218
-0.95671722678033, -0.727262150342973, -0.751878595330788
-0.955918597387279, -0.724824262407192, -0.74924572442789
-0.954908099997838, -0.721747112601405, -0.745895983178962
-0.953359881317094, -0.717048709185272, -0.740728255816035
-0.952873954815725, -0.71557810150242, -0.739098406966614
-0.952789544291869, -0.715322838271497, -0.738814931699942
-0.952343186876368, -0.713973990644255, -0.737314264972251
-0.95203190961449, -0.713034305100195, -0.736266139630762
-0.952023354787142, -0.713008490913788, -0.736237316042025
-0.95190483828038, -0.712650928925303, -0.735837903957615
-0.951483517884832, -0.711380742199765, -0.734416583027577
-0.950405868404444, -0.70813846350535, -0.730771710797622
-0.950402486769433, -0.708128304238341, -0.730760253449573
-0.949828569221377, -0.706405465520314, -0.728814106978857
-0.949555745130687, -0.705587419017863, -0.727887864304045
-0.948737881054435, -0.703138739457806, -0.725107334686239
-0.948660171100745, -0.702906360000101, -0.724842859420975
-0.948293586684967, -0.701810810223361, -0.723594631843401
-0.947942181386476, -0.700761651484981, -0.722397197278944
-0.947255293046206, -0.698713775800058, -0.720054300784294
-0.947159066645369, -0.698427195034118, -0.719725862418324
-0.947080814244026, -0.698194199874069, -0.719458735232378
-0.946823193285672, -0.697427490111902, -0.718579076181522
-0.946635948778888, -0.696870567770733, -0.717939510863387
-0.945234053061354, -0.692709963378659, -0.71314638972698
-0.9451731096062, -0.692529455334294, -0.71293786561783
-0.942058814289782, -0.683345405031425, -0.702273826573893
-0.94044112433379, -0.678605894043605, -0.696735095376541
-0.939616155710052, -0.676197062860846, -0.693912650409466
-0.937368432070949, -0.669661866089512, -0.686235000648319
-0.935601363624174, -0.664552831924472, -0.680216926289253
-0.934101807783901, -0.660237010886351, -0.67512580923984
-0.933095541333254, -0.657351073432359, -0.671718950017298
